method,task,metric,mean,sd,n
ens,mmlu_science_high,acc,81.0840000000,0.3149285633,5
ens,mmlu_science_high,nll,0.7880000000,0.0210390114,5
ens,mmlu_science_high,ece,12.5580000000,0.3630702411,5
ens,mmlu_science_high,brier,0.2972800000,0.0039085803,5
ens,mmlu_science_college,acc,74.1640000000,0.4398067758,5
ens,mmlu_science_college,nll,1.0463600000,0.0173649935,5
ens,mmlu_science_college,ece,14.9880000000,0.6531232655,5
ens,mmlu_science_college,brier,0.4076800000,0.0031830803,5
ens,gpqa_main,acc,36.6060000000,0.5244806955,5
ens,gpqa_main,nll,1.9563000000,0.0153952915,5
ens,gpqa_main,ece,33.0740000000,0.5861569756,5
ens,gpqa_main,brier,0.8823800000,0.0054997273,5
laplace,iid,acc,94.0280000000,0.4017088498,5
laplace,iid,nll,0.1287400000,0.0042869570,5
laplace,iid,ece,1.1980000000,0.3285117958,5
laplace,iid,brier,0.0762200000,0.0017369514,5
laplace,grade12,acc,93.4860000000,0.7702791702,5
laplace,grade12,nll,0.2271200000,0.0089781401,5
laplace,grade12,ece,4.2760000000,0.7308077723,5
laplace,grade12,brier,0.1149000000,0.0049694064,5
laplace,obqa,acc,88.4400000000,0.4335896678,5
laplace,obqa,nll,0.3848800000,0.0085479237,5
laplace,obqa,ece,3.0560000000,0.6559192023,5
laplace,obqa,brier,0.1756800000,0.0007085196,5
laplace,arc-c,acc,91.5560000000,0.4595976501,5
laplace,arc-c,nll,0.2717400000,0.0030212580,5
laplace,arc-c,ece,3.0220000000,0.3584271195,5
laplace,arc-c,brier,0.1246400000,0.0013903237,5
laplace,mmlu_science_high,acc,81.1120000000,0.4970613644,5
laplace,mmlu_science_high,nll,0.6104800000,0.0156943302,5
laplace,mmlu_science_high,ece,6.9320000000,0.7470073627,5
laplace,mmlu_science_high,brier,0.2712200000,0.0040898655,5
laplace,mmlu_science_college,acc,72.9460000000,0.5268111616,5
laplace,mmlu_science_college,nll,0.8600200000,0.0200021749,5
laplace,mmlu_science_college,ece,8.1980000000,0.6906301470,5
